32545,33520
26886,32545
28362,32545
1040,19641
16061,32545
26646,32545
34150,32545
4084,1057
4084,9194
5178,32545
29482,32545
30511,24566
30511,32545
6687,1683
24339,12113
30246,11844
32545,1683
3572,24339
4771,32545
28437,37299
36191,32545
35824,25987
7511,32545
13296,33520
35714,32545
17625,12113
386,1683
386,24006
4761,32545
4084,1683
5854,19683
25445,32545
29741,32545
31025,32545
33776,32545
16026,32545
16705,32545
5161,11844
5161,11844
5161,32545
5161,32545
6907,32545
12892,3641
26646,32545
29402,32545
35983,32545
4084,9194
11844,35360
11844,455
1546,12113
17966,11844
17966,11844
5161,11844
5161,32545
5161,32545
5178,15050
29928,32545
33520,13296
32545,30143
28700,15766
30246,32545
9194,4084
12113,1546
3572,24340
7511,32545
30451,32545
33520,15050
33520,27007
25835,1683
28811,32545
30511,32545
32545,1683
7467,32545
1057,4084
33520,32545
9194,4084
1159,12118
4084,1057
4084,9194
27238,32545
27309,32545
3572,24339
16468,12113
4594,3613
5178,13296
1057,4084
13296,24339
13296,27933
13296,3614
7950,11844
9194,4084
4084,1057
4084,9194
5232,1683
27238,32545
30246,11844
30246,32545
12209,25967
25218,25967
3982,32545
13296,2688
10384,1057
24090,32545
27876,1057
32492,32545
9194,4084
1057,4084
13296,33520
13296,5178
26447,15811
26646,32545
3572,24339
4084,1057
15125,1683
15766,33955
1683,32545
2403,32545
32630,32545
24338,3641
29345,32545
32545,34782
10384,1057
27876,1057
30246,32545
10984,12118
29617,5178
33520,5178
3982,32545
1040,12118
15125,1683
17966,11844
1935,1683
32639,32545
33520,27007
5145,32545
5161,11844
30246,32545
4084,1057
13296,19192
17966,32545
29989,32545
13296,328
30461,32545
4084,1057
4084,9194
11174,32545
13296,12113
16731,12118
29151,32545
32851,11844
32851,11844
32851,32545
33502,1683
33520,32545
5145,1194
8180,12118
1057,4084
30224,32545
34741,32545
34741,32545
994,12118
10043,16849
13296,24339
15125,1683
24128,11844
11844,1057
11844,32851
1683,32545
29989,32545
32851,11844
32851,32545
4084,1057
7467,11844
7511,32290
13296,24080
13296,24339
13296,3614
13296,3642
23020,11844
23020,32545
29318,32545
29617,11844
29617,11844
11844,5324
32545,36232
32851,11844
1057,4084
13296,24339
14342,11375
26392,32545
33776,32545
9194,4084
13296,12113
23076,32545
30246,11844
23072,11375
11174,32545
13296,3614
29345,1683
4364,33564
12118,1040
16468,12113
10266,12118
13296,11844
33520,32545
37299,32545
13296,12113
30224,32545
32545,29345
12113,1546
14206,32545
15125,1683
4084,1057
4084,9194
15980,32545
33982,24566
34987,24006
37299,1683
3982,32545
16468,12113
23020,32545
23020,33564
3572,24339
23020,11844
25929,1481
27309,32545
32545,24339
4084,1057
11239,32545
1340,32545
30205,37299
35478,37299
30246,11844
5178,15050
14627,32545
17966,11844
17966,32545
24566,32545
35478,32545
26787,32545
32851,32545
30246,11844
32545,29345
32545,32847
37299,32545
4084,1057
7992,32545
17966,11844
29345,1683
30246,11844
32539,32545
36380,32545
3982,32545
5161,32545
10140,32545
25967,32545
29201,32545
7511,32545
11687,6535
17966,32545
29744,30613
29894,32545
32290,32545
34782,32545
13174,15811
26646,32545
28709,1683
5178,32545
7511,32545
1057,4084
13599,19683
35902,6535
4084,1057
5139,22082
11844,4232
2097,11375
25016,32545
35824,21683
11239,32545
23020,32545
29125,32545
30246,32545
30642,32545
4364,33564
32545,28700
4721,32545
10384,3641
13296,6429
25007,32545
27309,32545
11174,32545
30642,32545
32290,32545
4084,1057
26985,32545
28060,32545
28464,35902
28464,6535
30578,32545
37299,32545
11844,33751
14342,11375
14368,8731
15648,32545
25769,32545
28808,10874
28808,10874
29311,32545
29345,32545
4364,30246
17671,32545
35426,32545
14052,30032
25576,32545
29345,1683
30624,15950
33466,32545
4084,1057
5178,32545
10143,32545
11844,17966
11844,23658
11844,30654
11844,37348
14532,6535
23534,32462
25663,32545
32851,32545
35429,32545
10143,29157
15404,32545
15571,32545
1683,8055
25786,37299
27309,32545
30246,32545
15048,29617
37620,29617
14342,11375
33914,6535
36052,32290
5161,11844
11844,29345
30246,32545
4721,11844
4721,32545
10198,32545
